Plant,Date,Energy_Gcal_tcs
BSL,2000-01-01,8.28
BSL,2001-01-01,8.25
BSL,2002-01-01,8.28
BSL,2003-01-01,8.13
BSL,2004-01-01,8.02
BSL,2005-01-01,7.94
BSL,2006-01-01,7.93
BSL,2007-01-01,7.75
BSL,2008-01-01,7.69
BSL,2009-01-01,7.77
BSL,2010-01-01,7.59
BSL,2011-01-01,7.56
BSL,2012-01-01,7.5
BSL,2013-01-01,7.4
BSL,2014-01-01,7.3
BSL,2015-01-01,7.2
BSL,2016-01-01,7.15
BSL,2017-01-01,7.1
BSL,2018-01-01,7.0
BSL,2019-01-01,6.9
BSL,2020-01-01,6.85
BSL,2021-01-01,6.8
BSL,2022-01-01,6.75
BSL,2023-01-01,6.7
BSP,2000-01-01,8.21
BSP,2001-01-01,8.09
BSP,2002-01-01,8.03
BSP,2003-01-01,8.06
BSP,2004-01-01,7.88
BSP,2005-01-01,7.77
BSP,2006-01-01,7.76
BSP,2007-01-01,7.71
BSP,2008-01-01,7.62
BSP,2009-01-01,7.56
BSP,2010-01-01,7.51
BSP,2011-01-01,7.4
BSP,2012-01-01,7.4
BSP,2013-01-01,7.3
BSP,2014-01-01,7.2
BSP,2015-01-01,7.1
BSP,2016-01-01,7.0
BSP,2017-01-01,6.9
BSP,2018-01-01,6.85
BSP,2019-01-01,6.8
BSP,2020-01-01,6.75
BSP,2021-01-01,6.7
BSP,2022-01-01,6.65
BSP,2023-01-01,6.6
DSP,2000-01-01,8.31
DSP,2001-01-01,8.12
DSP,2002-01-01,8.23
DSP,2003-01-01,8.12
DSP,2004-01-01,8.01
DSP,2005-01-01,7.91
DSP,2006-01-01,7.9
DSP,2007-01-01,7.86
DSP,2008-01-01,7.8
DSP,2009-01-01,7.7
DSP,2010-01-01,7.64
DSP,2011-01-01,7.72
DSP,2012-01-01,7.6
DSP,2013-01-01,7.55
DSP,2014-01-01,7.5
DSP,2015-01-01,7.4
DSP,2016-01-01,7.35
DSP,2017-01-01,7.3
DSP,2018-01-01,7.25
DSP,2019-01-01,7.2
DSP,2020-01-01,7.15
DSP,2021-01-01,7.1
DSP,2022-01-01,7.05
DSP,2023-01-01,7.0
ISP,2000-01-01,9.16
ISP,2001-01-01,9.08
ISP,2002-01-01,8.94
ISP,2003-01-01,8.87
ISP,2004-01-01,8.83
ISP,2005-01-01,8.71
ISP,2006-01-01,8.56
ISP,2007-01-01,8.39
ISP,2008-01-01,8.34
ISP,2009-01-01,8.27
ISP,2010-01-01,8.18
ISP,2011-01-01,7.98
ISP,2012-01-01,8.0
ISP,2013-01-01,7.9
ISP,2014-01-01,7.8
ISP,2015-01-01,7.6
ISP,2016-01-01,7.5
ISP,2017-01-01,7.4
ISP,2018-01-01,7.3
ISP,2019-01-01,7.2
ISP,2020-01-01,7.1
ISP,2021-01-01,7.0
ISP,2022-01-01,6.95
ISP,2023-01-01,6.9
RSP,2000-01-01,9.77
RSP,2001-01-01,9.49
RSP,2002-01-01,9.49
RSP,2003-01-01,9.25
RSP,2004-01-01,9.07
RSP,2005-01-01,9.15
RSP,2006-01-01,8.9
RSP,2007-01-01,8.77
RSP,2008-01-01,8.55
RSP,2009-01-01,8.55
RSP,2010-01-01,8.41
RSP,2011-01-01,8.13
RSP,2012-01-01,8.2
RSP,2013-01-01,8.0
RSP,2014-01-01,7.8
RSP,2015-01-01,7.6
RSP,2016-01-01,7.4
RSP,2017-01-01,7.3
RSP,2018-01-01,7.1
RSP,2019-01-01,6.95
RSP,2020-01-01,6.85
RSP,2021-01-01,6.8
RSP,2022-01-01,6.75
RSP,2023-01-01,6.7
SAIL,2000-01-01,8.84
SAIL,2001-01-01,8.74
SAIL,2002-01-01,8.58
SAIL,2003-01-01,8.51
SAIL,2004-01-01,8.47
SAIL,2005-01-01,8.44
SAIL,2006-01-01,8.16
SAIL,2007-01-01,8.13
SAIL,2008-01-01,8.07
SAIL,2009-01-01,7.92
SAIL,2010-01-01,7.9
SAIL,2011-01-01,7.85
SAIL,2012-01-01,7.74
SAIL,2013-01-01,7.61
SAIL,2014-01-01,7.52
SAIL,2015-01-01,7.38
SAIL,2016-01-01,7.26
SAIL,2017-01-01,7.18
SAIL,2018-01-01,7.1
SAIL,2019-01-01,7.01
SAIL,2020-01-01,6.92
SAIL,2021-01-01,6.84
SAIL,2022-01-01,6.76
SAIL,2023-01-01,6.68
