Year,Plant,Energy_Gcal_tcs
2000,BSL,8.28
2001,BSL,8.25
2002,BSL,8.28
2003,BSL,8.13
2004,BSL,8.02
2005,BSL,7.94
2006,BSL,7.93
2007,BSL,7.75
2008,BSL,7.69
2009,BSL,7.77
2010,BSL,7.59
2011,BSL,7.56
2012,BSL,7.5
2013,BSL,7.4
2014,BSL,7.3
2015,BSL,7.2
2016,BSL,7.15
2017,BSL,7.1
2018,BSL,7.0
2019,BSL,6.9
2020,BSL,6.85
2021,BSL,6.8
2022,BSL,6.75
2023,BSL,6.7
2000,BSP,8.21
2001,BSP,8.09
2002,BSP,8.03
2003,BSP,8.06
2004,BSP,7.88
2005,BSP,7.77
2006,BSP,7.76
2007,BSP,7.71
2008,BSP,7.62
2009,BSP,7.56
2010,BSP,7.51
2011,BSP,7.4
2012,BSP,7.4
2013,BSP,7.3
2014,BSP,7.2
2015,BSP,7.1
2016,BSP,7.0
2017,BSP,6.9
2018,BSP,6.85
2019,BSP,6.8
2020,BSP,6.75
2021,BSP,6.7
2022,BSP,6.65
2023,BSP,6.6
2000,DSP,8.31
2001,DSP,8.12
2002,DSP,8.23
2003,DSP,8.12
2004,DSP,8.01
2005,DSP,7.91
2006,DSP,7.9
2007,DSP,7.86
2008,DSP,7.8
2009,DSP,7.7
2010,DSP,7.64
2011,DSP,7.72
2012,DSP,7.6
2013,DSP,7.55
2014,DSP,7.5
2015,DSP,7.4
2016,DSP,7.35
2017,DSP,7.3
2018,DSP,7.25
2019,DSP,7.2
2020,DSP,7.15
2021,DSP,7.1
2022,DSP,7.05
2023,DSP,7.0
2000,ISP,9.16
2001,ISP,9.08
2002,ISP,8.94
2003,ISP,8.87
2004,ISP,8.83
2005,ISP,8.71
2006,ISP,8.56
2007,ISP,8.39
2008,ISP,8.34
2009,ISP,8.27
2010,ISP,8.18
2011,ISP,7.98
2012,ISP,8.0
2013,ISP,7.9
2014,ISP,7.8
2015,ISP,7.6
2016,ISP,7.5
2017,ISP,7.4
2018,ISP,7.3
2019,ISP,7.2
2020,ISP,7.1
2021,ISP,7.0
2022,ISP,6.95
2023,ISP,6.9
2000,RSP,9.77
2001,RSP,9.49
2002,RSP,9.49
2003,RSP,9.25
2004,RSP,9.07
2005,RSP,9.15
2006,RSP,8.9
2007,RSP,8.77
2008,RSP,8.55
2009,RSP,8.55
2010,RSP,8.41
2011,RSP,8.13
2012,RSP,8.2
2013,RSP,8.0
2014,RSP,7.8
2015,RSP,7.6
2016,RSP,7.4
2017,RSP,7.3
2018,RSP,7.1
2019,RSP,6.95
2020,RSP,6.85
2021,RSP,6.8
2022,RSP,6.75
2023,RSP,6.7
2000,SAIL,8.84
2001,SAIL,8.74
2002,SAIL,8.58
2003,SAIL,8.51
2004,SAIL,8.47
2005,SAIL,8.44
2006,SAIL,8.16
2007,SAIL,8.13
2008,SAIL,8.07
2009,SAIL,7.92
2010,SAIL,7.9
2011,SAIL,7.85
2012,SAIL,7.74
2013,SAIL,7.61
2014,SAIL,7.52
2015,SAIL,7.38
2016,SAIL,7.26
2017,SAIL,7.18
2018,SAIL,7.1
2019,SAIL,7.01
2020,SAIL,6.92
2021,SAIL,6.84
2022,SAIL,6.76
2023,SAIL,6.68
