Year,Plant,EnergyConsumption_GcalPerTCS,Production_Tonnes
2004,Bhilai Steel Plant,6.82,12044455.0
2005,Bhilai Steel Plant,6.64,12871581.0
2006,Bhilai Steel Plant,6.75,11950435.0
2007,Bhilai Steel Plant,6.67,12105427.0
2008,Bhilai Steel Plant,6.71,12278333.0
2009,Bhilai Steel Plant,6.79,12264482.0
2010,Bhilai Steel Plant,6.91,12690698.0
2011,Bhilai Steel Plant,6.52,12410116.0
2012,Bhilai Steel Plant,6.74,12179923.0
2013,Bhilai Steel Plant,6.61,12675178.0
2014,Bhilai Steel Plant,6.76,12335749.0
2015,Bhilai Steel Plant,6.8,12478822.0
2016,Bhilai Steel Plant,6.73,12220132.0
2017,Bhilai Steel Plant,6.77,12428480.0
2018,Bhilai Steel Plant,6.75,12219125.0
2019,Bhilai Steel Plant,6.69,11995569.0
2020,Bhilai Steel Plant,6.86,12703339.0
2021,Bhilai Steel Plant,6.73,12341753.0
2022,Bhilai Steel Plant,6.64,12106368.0
2023,Bhilai Steel Plant,6.72,12686356.0
2004,Durgapur Steel Plant,6.67,11628243.0
2005,Durgapur Steel Plant,6.54,10888726.0
2006,Durgapur Steel Plant,6.72,11202272.0
2007,Durgapur Steel Plant,6.51,11099537.0
2008,Durgapur Steel Plant,6.53,11404043.0
2009,Durgapur Steel Plant,6.7,11630039.0
2010,Durgapur Steel Plant,6.73,11590214.0
2011,Durgapur Steel Plant,6.62,11176671.0
2012,Durgapur Steel Plant,6.49,11693609.0
2013,Durgapur Steel Plant,6.63,11240600.0
2014,Durgapur Steel Plant,6.76,11094252.0
2015,Durgapur Steel Plant,6.73,11452683.0
2016,Durgapur Steel Plant,6.54,11340973.0
2017,Durgapur Steel Plant,6.74,11602393.0
2018,Durgapur Steel Plant,6.8,11465169.0
2019,Durgapur Steel Plant,6.98,11087597.0
2020,Durgapur Steel Plant,6.61,11345455.0
2021,Durgapur Steel Plant,6.5,11676462.0
2022,Durgapur Steel Plant,6.74,11369415.0
2023,Durgapur Steel Plant,6.59,10915198.0
2004,Rourkela Steel Plant,7.04,11395901.0
2005,Rourkela Steel Plant,7.1,11321752.0
2006,Rourkela Steel Plant,6.88,11481263.0
2007,Rourkela Steel Plant,7.02,10926871.0
2008,Rourkela Steel Plant,6.99,10793852.0
2009,Rourkela Steel Plant,6.99,11438710.0
2010,Rourkela Steel Plant,7.0,10954995.0
2011,Rourkela Steel Plant,7.0,11351761.0
2012,Rourkela Steel Plant,6.89,10907753.0
2013,Rourkela Steel Plant,7.04,10838641.0
2014,Rourkela Steel Plant,7.22,11167474.0
2015,Rourkela Steel Plant,6.94,10968268.0
2016,Rourkela Steel Plant,6.98,11042526.0
2017,Rourkela Steel Plant,6.82,11592597.0
2018,Rourkela Steel Plant,7.03,11205262.0
2019,Rourkela Steel Plant,7.11,10897093.0
2020,Rourkela Steel Plant,6.95,11350699.0
2021,Rourkela Steel Plant,7.02,11316945.0
2022,Rourkela Steel Plant,7.02,11141060.0
2023,Rourkela Steel Plant,7.17,11533213.0
2004,Bokaro Steel Plant,6.99,12448388.0
2005,Bokaro Steel Plant,6.95,11949992.0
2006,Bokaro Steel Plant,7.01,11802253.0
2007,Bokaro Steel Plant,6.93,12879945.0
2008,Bokaro Steel Plant,6.77,12052919.0
2009,Bokaro Steel Plant,6.88,12071766.0
2010,Bokaro Steel Plant,6.72,12243377.0
2011,Bokaro Steel Plant,6.77,12364886.0
2012,Bokaro Steel Plant,6.78,12687789.0
2013,Bokaro Steel Plant,6.79,12126190.0
2014,Bokaro Steel Plant,6.95,11853549.0
2015,Bokaro Steel Plant,6.89,12614951.0
2016,Bokaro Steel Plant,6.71,12278199.0
2017,Bokaro Steel Plant,6.9,12457355.0
2018,Bokaro Steel Plant,6.75,11826672.0
2019,Bokaro Steel Plant,6.92,12311904.0
2020,Bokaro Steel Plant,6.9,12326743.0
2021,Bokaro Steel Plant,6.8,12292485.0
2022,Bokaro Steel Plant,6.9,12008503.0
2023,Bokaro Steel Plant,7.06,12364958.0
2004,IISCO Steel Plant,6.82,12726149.0
2005,IISCO Steel Plant,7.09,12513371.0
2006,IISCO Steel Plant,6.86,13065214.0
2007,IISCO Steel Plant,7.02,13652064.0
2008,IISCO Steel Plant,6.82,12949852.0
2009,IISCO Steel Plant,6.99,12751520.0
2010,IISCO Steel Plant,7.05,12724818.0
2011,IISCO Steel Plant,6.76,12479528.0
2012,IISCO Steel Plant,7.09,13085344.0
2013,IISCO Steel Plant,6.92,12884815.0
2014,IISCO Steel Plant,7.23,12724379.0
2015,IISCO Steel Plant,6.96,12790915.0
2016,IISCO Steel Plant,7.02,12629065.0
2017,IISCO Steel Plant,7.02,12150467.0
2018,IISCO Steel Plant,6.99,12748924.0
2019,IISCO Steel Plant,6.93,12591158.0
2020,IISCO Steel Plant,6.9,12489679.0
2021,IISCO Steel Plant,6.72,12653330.0
2022,IISCO Steel Plant,7.07,12633112.0
2023,IISCO Steel Plant,7.02,12409675.0
2023,SAIL (Corporate),6.845999999999999,11971327.11
